location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,78.14,2,7399.621212121212
Chikka Tirupathi,4 Bedroom,2600.0,5.0,240.0,4,9230.76923076923
Uttarahalli,3 BHK,1440.0,2.0,124.0,3,8611.111111111111
Lingadheeranahalli,3 BHK,1521.0,3.0,190.0,3,12491.781722550953
Kothanur,2 BHK,1200.0,2.0,102.0,2,8500.0
Whitefield,2 BHK,1170.0,2.0,76.0,2,6495.726495726496
Old Airport Road,4 BHK,2732.0,4.0,408.0,4,14934.114202049781
Rajaji Nagar,4 BHK,3300.0,4.0,1200.0,4,36363.63636363636
Marathahalli,3 BHK,1310.0,3.0,126.5,3,9656.488549618321
Gandhi Bazar,6 Bedroom,1020.0,6.0,740.0,6,72549.01960784313
Whitefield,3 BHK,1800.0,2.0,140.0,3,7777.777777777777
Whitefield,4 Bedroom,2785.0,5.0,590.0,4,21184.91921005386
7th Phase JP Nagar,2 BHK,1000.0,2.0,76.0,2,7600.0
Gottigere,2 BHK,1100.0,2.0,80.0,2,7272.727272727273
Sarjapur,3 Bedroom,2250.0,3.0,296.0,3,13155.555555555555
Mysore Road,2 BHK,1175.0,2.0,147.0,2,12510.63829787234
Bisuvanahalli,3 BHK,1180.0,3.0,96.0,3,8135.593220338983
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,120.0,3,7792.207792207792
Ramakrishnappa Layout,3 BHK,2770.0,4.0,580.0,3,20938.628158844764
Manayata Tech Park,2 BHK,1100.0,2.0,96.0,2,8727.272727272728
Kengeri,1 BHK,600.0,1.0,30.0,1,5000.0
Binny Pete,3 BHK,1755.0,3.0,244.0,3,13903.133903133903
Thanisandra,4 Bedroom,2800.0,5.0,760.0,4,27142.85714285714
Bellandur,3 BHK,1767.0,3.0,206.0,3,11658.177702320318
 Thanisandra,1 RK,510.0,1.0,50.5,1,9901.960784313726
Mangammanapalya,3 BHK,1250.0,3.0,112.0,3,8960.0
Electronic City,2 BHK,660.0,1.0,46.2,2,7000.0
Whitefield,3 BHK,1610.0,3.0,162.0,3,10062.111801242236
Ramagondanahalli,2 BHK,1151.0,2.0,97.54,2,8474.370112945266
Electronic City,3 BHK,1025.0,2.0,94.0,3,9170.731707317073
Yelahanka,4 BHK,2475.0,4.0,372.0,4,15030.30303030303
Bisuvanahalli,3 BHK,1075.0,2.0,70.0,3,6511.627906976744
Hebbal,3 BHK,1760.0,2.0,246.0,3,13977.272727272728
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,114.78,3,6779.68103957472
Kasturi Nagar,3 BHK,1925.0,3.0,250.0,3,12987.012987012988
Kanakpura Road,2 BHK,700.0,2.0,72.0,2,10285.714285714286
Electronics City Phase 1,2 BHK,1070.0,2.0,91.0,2,8504.672897196262
Kundalahalli,3 BHK,1724.0,3.0,250.0,3,14501.160092807424
Chikkalasandra,3 BHK,1290.0,2.0,112.24,3,8700.77519379845
